epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9408,4.77448,8.4514,4.22965,0,0,0,0,2.21925,22.4653,2.08938,4e-05,4e-05,4e-05
2,37.0352,3.66871,7.48902,4.23311,0,0,0,0,2.21936,22.479,2.08953,9.901e-05,9.901e-05,9.901e-05
3,50.5655,4.67792,8.97339,4.50676,0,0,0,0,2.21943,22.4863,2.08956,0.000156832,0.000156832,0.000156832
4,64.1586,4.43027,7.41308,4.30002,0,0,0,0,2.21944,22.4866,2.08947,0.000213466,0.000213466,0.000213466
5,77.7239,4.46552,8.69513,4.20024,0,0,0,0,2.21934,22.4555,2.08933,0.000268912,0.000268912,0.000268912
6,90.9594,4.65748,7.9112,4.12677,0,0,0,0,2.21925,22.4024,2.08923,0.00032317,0.00032317,0.00032317
7,104.457,4.67976,7.88159,4.30019,0,0,0,0,2.21918,22.3201,2.08924,0.00037624,0.00037624,0.00037624
8,118.759,4.28115,6.34588,4.12374,0,0,0,0,2.21913,22.2605,2.08932,0.000428122,0.000428122,0.000428122
9,132.75,4.23805,6.50577,4.10014,0,0,0,0,2.21899,22.1013,2.0895,0.000478816,0.000478816,0.000478816
10,146.064,3.60195,6.00918,4.16465,0,0,0,0,2.21899,21.9922,2.08966,0.000528322,0.000528322,0.000528322
11,159.648,3.81811,6.26769,4.04005,0,0,0,0,2.21884,21.7273,2.08974,0.00057664,0.00057664,0.00057664
12,172.953,3.86744,6.57361,3.92959,0,0,0,0,2.21873,21.5123,2.0896,0.00062377,0.00062377,0.00062377
13,186.65,3.77517,6.67898,3.83093,0,0,0,0,2.21771,20.713,2.08839,0.000669712,0.000669712,0.000669712
14,200.123,4.03499,6.8781,3.77361,0,0,0,0,2.21674,20.1042,2.08736,0.000714466,0.000714466,0.000714466
